ENSG00000109819	183
ENSG00000079263	373
ENSG00000078900	222
ENSG00000108773	339
ENSG00000111875	36
ENSG00000101849	197
ENSG00000048052	334
ENSG00000101882	74
ENSG00000114982	354
ENSG00000079785	185
ENSG00000008838	433
ENSG00000072310	435
ENSG00000100307	82
ENSG00000113812	180
ENSG00000111218	132
ENSG00000096070	390
ENSG00000102699	375
ENSG00000070495	159
ENSG00000071655	75
ENSG00000086102	296
ENSG00000096717	126
ENSG00000101126	216
ENSG00000107077	332
ENSG00000102054	163
ENSG00000111339	64
ENSG00000077080	192
ENSG00000072736	276
ENSG00000102145	176
ENSG00000036828	318
ENSG00000105392	114
ENSG00000077514	115
ENSG00000068903	199
ENSG00000077684	233
ENSG00000078487	200
ENSG00000110066	151
ENSG00000099991	790
ENSG00000108468	55
ENSG00000071794	167
ENSG00000100084	430
ENSG00000077097	239
ENSG00000105176	101
ENSG00000085231	82
ENSG00000077463	137
ENSG00000176046	17
ENSG00000196705	19
ENSG00000080839	217
ENSG00000005381	277
ENSG00000085840	278
ENSG00000112511	207
ENSG00000108799	203
ENSG00000061455	145
ENSG00000101901	285
ENSG00000111530	214
ENSG00000113916	260
ENSG00000105968	29
ENSG00000006459	194
ENSG00000106571	471
ENSG00000064205	99
ENSG00000122565	16
ENSG00000047410	400
ENSG00000100395	298
ENSG00000006712	199
ENSG00000105559	312
ENSG00000012822	252
ENSG00000006047	120
ENSG00000012048	351
ENSG00000087152	147
ENSG00000108509	455
ENSG00000049768	214
ENSG00000100811	78
ENSG00000068878	393
ENSG00000099364	241
ENSG00000075089	68
ENSG00000112983	419
ENSG00000057657	239
ENSG00000189060	12
ENSG00000184897	18
ENSG00000073614	390
ENSG00000114166	200
ENSG00000111642	614
ENSG00000016082	115
ENSG00000100034	134
ENSG00000089902	109
ENSG00000102038	162
ENSG00000059378	206
ENSG00000005007	430
ENSG00000074047	431
ENSG00000099954	462
ENSG00000078403	244
ENSG00000111704	28
ENSG00000096872	129
ENSG00000115163	188
ENSG00000074266	85
ENSG00000036549	156
ENSG00000083642	220
ENSG00000107614	79
ENSG00000049618	650
ENSG00000043355	74
ENSG00000085999	264
ENSG00000077152	49
ENSG00000108292	321
ENSG00000032219	177
ENSG00000104313	191
ENSG00000010803	263
ENSG00000099381	463
ENSG00000101210	163
ENSG00000107669	143
ENSG00000066117	208
ENSG00000103510	173
ENSG00000104951	332
ENSG00000005302	107
ENSG00000041880	205
ENSG00000066427	63
ENSG00000093000	91
ENSG00000005102	56
ENSG00000019549	76
ENSG00000070047	411
ENSG00000101654	83
ENSG00000102974	157
ENSG00000066336	98
ENSG00000080603	1034
ENSG00000083168	453
ENSG00000112130	121
ENSG00000087250	35
ENSG00000095564	356
ENSG00000105556	217
ENSG00000105419	177
ENSG00000046651	172
ENSG00000056291	88
ENSG00000004487	215
ENSG00000069535	188
ENSG00000081692	133
ENSG00000064655	201
ENSG00000073584	82
ENSG00000066135	346
ENSG00000085185	549
ENSG00000100105	169
ENSG00000113810	138
ENSG00000014824	106
ENSG00000083544	143
ENSG00000100429	260
ENSG00000073111	331
ENSG00000084093	257
ENSG00000108055	182
ENSG00000079841	393
ENSG00000024048	364
ENSG00000071243	79
ENSG00000106789	222
ENSG00000112319	191
ENSG00000036473	97
ENSG00000019485	317
ENSG00000043039	68
ENSG00000106624	438
ENSG00000111653	88
ENSG00000004848	77
ENSG00000114933	310
ENSG00000072501	383
ENSG00000094916	37
ENSG00000106462	180
ENSG00000113558	43
ENSG00000095787	119
ENSG00000100146	138
ENSG00000108604	181
ENSG00000079313	343
ENSG00000100425	352
ENSG00000099956	153
ENSG00000246705	19
ENSG00000081189	147
ENSG00000111707	70
ENSG00000113580	188
ENSG00000101040	364
ENSG00000054598	31
ENSG00000011332	167
ENSG00000085224	299
ENSG00000107485	137
ENSG00000081059	182
ENSG00000177432	14
ENSG00000064195	91
ENSG00000094631	541
ENSG00000111247	70
ENSG00000088305	332
ENSG00000101057	269
ENSG00000111224	67
ENSG00000007545	435
ENSG00000103549	315
ENSG00000108312	223
ENSG00000109685	403
ENSG00000102384	126
ENSG00000108264	122
ENSG00000105011	90
ENSG00000056661	165
ENSG00000102098	193
ENSG00000091831	239
